experience_years,age,projects_completed,training_hours,salary_lakh
7.4,23.0,1.0,43.0,5.0
17.7,50.0,3.0,48.0,20.3
6.8,30.0,3.0,72.0,11.4
3.5,39.0,11.0,38.0,6.3
7.3,30.0,3.0,13.0,12.9
8.8,48.0,17.0,26.0,14.0
10.1,55.0,0.0,54.0,11.1
12.3,55.0,20.0,3.0,18.7
11.3,34.0,10.0,37.0,14.8
17.3,28.0,10.0,79.0,17.7
,39.0,6.0,57.0,12.9
1.1,49.0,2.0,55.0,6.4
18.4,44.0,16.0,51.0,19.8
6.2,51.0,4.0,17.0,8.4
13.8,23.0,6.0,16.0,16.0
11.7,34.0,17.0,11.0,12.3
2.0,22.0,18.0,59.0,9.6
8.0,47.0,1.0,13.0,12.7
11.7,24.0,10.0,78.0,15.4
9.5,29.0,14.0,69.0,15.9
6.4,30.0,4.0,68.0,10.6
5.5,48.0,3.0,41.0,10.8
15.8,24.0,4.0,37.0,17.9
3.9,48.0,4.0,40.0,5.1
7.9,25.0,,43.0,12.2
13.8,35.0,2.0,25.0,11.8
11.5,51.0,20.0,27.0,16.8
16.6,21.0,5.0,77.0,17.2
14.0,39.0,19.0,26.0,17.9
16.1,23.0,19.0,27.0,20.8
14.8,45.0,7.0,91.0,14.9
1.7,34.0,6.0,51.0,5.8
1.9,30.0,10.0,10.0,6.8
14.1,59.0,18.0,19.0,16.0
5.6,37.0,10.0,100.0,8.6
16.5,34.0,4.0,83.0,18.5
12.9,48.0,,77.0,13.9
14.8,46.0,20.0,5.0,15.7
18.2,40.0,10.0,66.0,22.7
14.8,35.0,19.0,18.0,19.4
5.1,56.0,2.0,93.0,6.6
1.1,36.0,3.0,31.0,6.1
14.9,51.0,19.0,28.0,17.4
10.5,46.0,10.0,5.0,12.4
3.3,52.0,11.0,91.0,9.1
3.6,46.0,1.0,6.0,8.7
2.1,60.0,3.0,100.0,5.6
4.7,21.0,7.0,71.0,10.6
8.3,37.0,20.0,10.0,10.6
0.1,55.0,20.0,68.0,11.4
18.7,44.0,11.0,8.0,17.4
6.8,39.0,3.0,27.0,7.4
9.9,,19.0,60.0,19.0
6.3,51.0,4.0,81.0,11.2
11.4,56.0,8.0,2.0,12.1
11.2,44.0,16.0,49.0,16.8
3.5,27.0,1.0,83.0,9.7
5.6,40.0,19.0,87.0,11.9
2.6,35.0,20.0,10.0,7.6
5.7,31.0,15.0,20.0,9.8
5.9,52.0,3.0,97.0,12.3
6.3,53.0,3.0,40.0,9.5
1.7,33.0,15.0,42.0,8.0
8.6,43.0,0.0,68.0,13.3
0.0,52.0,19.0,48.0,8.4
14.0,37.0,9.0,71.0,19.0
15.6,42.0,16.0,85.0,20.2
5.8,28.0,18.0,51.0,12.3
11.5,31.0,13.0,2.0,12.8
8.2,46.0,8.0,68.0,11.6
17.0,58.0,10.0,88.0,19.0
10.2,22.0,,51.0,14.4
3.5,27.0,16.0,7.0,8.7
10.5,39.0,2.0,9.0,14.1
5.2,59.0,11.0,18.0,11.2
9.1,34.0,5.0,0.0,9.3
8.1,51.0,18.0,60.0,14.7
15.8,27.0,18.0,,17.1
9.2,56.0,1.0,29.0,11.4
18.2,60.0,12.0,68.0,23.2
18.4,54.0,19.0,9.0,21.9
10.9,51.0,17.0,57.0,20.1
11.0,27.0,17.0,10.0,16.2
5.1,56.0,2.0,93.0,6.6
5.1,43.0,10.0,70.0,9.0
3.9,41.0,2.0,29.0,4.8
3.9,21.0,14.0,5.0,5.7
2.0,,15.0,67.0,10.9
9.5,58.0,5.0,41.0,13.9
18.7,54.0,14.0,65.0,21.3
12.0,30.0,7.0,36.0,15.1
13.0,47.0,2.0,45.0,16.7
11.3,47.0,15.0,78.0,15.4
18.0,57.0,4.0,92.0,22.9
7.1,24.0,10.0,98.0,16.0
10.6,36.0,8.0,14.0,14.7
2.7,48.0,6.0,67.0,4.9
14.3,34.0,19.0,17.0,13.1
5.5,55.0,1.0,60.0,9.5
4.2,38.0,14.0,79.0,7.6
6.7,57.0,19.0,2.0,14.0
1.5,36.0,7.0,74.0,8.6
3.8,43.0,2.0,96.0,6.8
3.5,56.0,16.0,41.0,9.9
8.1,22.0,2.0,49.0,12.4
5.6,31.0,4.0,82.0,9.2
16.9,29.0,10.0,32.0,17.4
5.8,41.0,14.0,55.0,9.5
19.4,51.0,,12.0,24.5
3.5,25.0,19.0,80.0,6.5
10.3,40.0,1.0,48.0,11.2
19.9,51.0,8.0,84.0,20.9
18.2,27.0,20.0,22.0,23.1
5.4,26.0,18.0,64.0,9.6
1.8,21.0,9.0,22.0,6.1
8.2,58.0,8.0,22.0,11.2
9.9,,19.0,60.0,19.0
4.7,23.0,9.0,7.0,8.6
5.1,31.0,6.0,71.0,10.8
,23.0,4.0,4.0,17.0
12.9,27.0,6.0,93.0,16.1
16.3,50.0,12.0,99.0,20.5
7.1,30.0,19.0,80.0,14.2
14.8,30.0,3.0,52.0,16.0
1.7,21.0,11.0,36.0,8.2
13.9,57.0,12.0,49.0,16.8
4.9,32.0,12.0,39.0,6.0
1.8,42.0,19.0,83.0,9.3
-3.0,45.0,19.0,98.0,16.3
16.9,52.0,9.0,75.0,19.3
5.3,48.0,4.0,,6.9
19.6,27.0,1.0,50.0,17.1
2.7,48.0,6.0,67.0,4.9
6.8,34.0,1.0,52.0,7.2
5.2,43.0,3.0,41.0,3.9
14.3,32.0,8.0,95.0,19.1
8.8,24.0,14.0,63.0,14.2
12.7,37.0,3.0,40.0,15.2
16.2,39.0,7.0,42.0,20.0
16.9,32.0,3.0,42.0,15.9
14.0,22.0,0.0,71.0,16.3
14.9,21.0,8.0,37.0,18.5
13.9,58.0,2.0,2.0,14.3
9.2,42.0,17.0,62.0,14.2
10.3,33.0,13.0,64.0,14.3
13.8,22.0,18.0,13.0,15.6
9.9,35.0,16.0,1.0,11.9
16.5,28.0,15.0,32.0,18.7
15.4,21.0,15.0,10.0,20.2
16.7,31.0,3.0,44.0,18.5
2.2,47.0,7.0,25.0,3.9
19.9,40.0,2.0,37.0,20.6
11.3,38.0,7.0,23.0,12.1
18.1,35.0,6.0,5.0,18.9
2.4,56.0,2.0,36.0,6.9
17.5,56.0,20.0,54.0,23.2
15.6,47.0,10.0,72.0,22.3
0.8,25.0,11.0,25.0,1.7
-3.0,40.0,15.0,90.0,12.9
9.6,27.0,7.0,24.0,8.3
20.0,29.0,9.0,21.0,20.3
7.0,49.0,13.0,53.0,11.5
18.6,45.0,8.0,64.0,20.4
15.2,28.0,1.0,79.0,13.7
15.6,28.0,14.0,65.0,17.5
5.0,56.0,14.0,5.0,12.0
2.5,50.0,13.0,16.0,5.0
5.7,46.0,15.0,49.0,12.0
17.5,46.0,16.0,1.0,18.7
9.4,31.0,18.0,74.0,14.1
7.5,58.0,4.0,34.0,10.9
15.5,24.0,14.0,86.0,20.6
12.1,38.0,16.0,93.0,19.9
17.5,31.0,19.0,23.0,23.8
18.8,54.0,9.0,35.0,20.1
17.1,41.0,15.0,95.0,21.1
14.6,51.0,11.0,20.0,14.1
19.9,50.0,9.0,33.0,24.8
13.5,44.0,6.0,72.0,15.3
11.5,31.0,11.0,77.0,13.6
9.1,56.0,10.0,14.0,13.7
9.7,40.0,12.0,89.0,15.9
13.8,34.0,13.0,41.0,18.3
2.5,27.0,13.0,45.0,8.5
1.6,31.0,6.0,3.0,8.2
13.3,21.0,14.0,6.0,21.7
16.2,32.0,14.0,52.0,17.2
14.5,27.0,9.0,55.0,15.2
1.2,30.0,11.0,47.0,1.9
16.4,57.0,0.0,51.0,17.4
18.3,21.0,15.0,21.0,21.1
1.5,58.0,8.0,91.0,8.8
5.3,47.0,11.0,97.0,12.1
3.2,26.0,2.0,83.0,6.2
11.8,39.0,14.0,66.0,17.6
10.9,29.0,6.0,57.0,11.8
0.9,56.0,5.0,43.0,7.2
12.9,40.0,19.0,36.0,17.3
14.1,51.0,5.0,13.0,16.5
8.1,52.0,1.0,30.0,9.7
16.8,29.0,8.0,68.0,20.4
10.7,60.0,11.0,76.0,17.5
12.2,25.0,1.0,72.0,13.6
12.3,60.0,9.0,81.0,14.4
1.7,52.0,12.0,88.0,11.3
19.5,37.0,2.0,84.0,23.3
1.9,47.0,20.0,68.0,8.7
5.1,37.0,19.0,91.0,13.0
15.4,44.0,3.0,99.0,16.2
14.6,52.0,2.0,26.0,14.6
8.4,48.0,10.0,5.0,11.1
3.3,29.0,8.0,13.0,5.5
7.7,49.0,15.0,97.0,11.4
11.1,34.0,10.0,60.0,14.1
8.7,45.0,7.0,35.0,12.6
12.1,38.0,6.0,37.0,13.1
9.1,35.0,1.0,9.0,13.1
11.7,56.0,18.0,32.0,18.2
